title,console,alcohol_reference,animated_blood,blood,blood_and_gore,cartoon_violence,crude_humor,drug_reference,fantasy_violence,intense_violence,language,lyrics,mature_humor,mild_blood,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_janguage,strong_sexual_content,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating,Unnamed: 34,Unnamed: 35,Unnamed: 36,index,release_date,publishers,developers,rating,metascritic_score,users_score,genres
FIVE NIGHTS AT FREDDY'S: HELP WANTED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,851,2020/10/30,Steel Wool Games,Steel Wool Games,,0.0,5.0,"Action Adventure, Survival"
Ruined King: A League of Legends Story,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,T,,,,2045,TBA,Riot Forge,Airship Syndicate Entertainment,,0.0,0.0,"Role-Playing, General"
Tanuki Justice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2437,2021/09/06,Pixelheart,Wonderboy Bobi,E10+,0.0,0.0,"Action, Platformer, 2D"
Bugsnax,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ET,,,,402,2022/04/28,"Young Horses, Inc","Young Horses, Inc",E10+,0.0,0.0,"Action Adventure, Adventure, 3D, Open-World, First-Person"
Bus Simulator 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,414,2021/09/07,astragon,stillalive studios,E,73.0,4.7,"Simulation, Vehicle, CivilianSimulation, Vehicle, CivilianSimulation, Vehicle, Civilian"
Five Nights at Freddy's: Core Collection,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,908,2021/01/12,Maximum Games,Maximum Games,T,0.0,0.0,"Miscellaneous, Compilation"
Afterparty,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M,,,,156,2019/10/29,"Night School Studio,Limited Run Games,Night School Studio",Night School Studio,M,75.0,6.9,"Adventure, GeneralAdventure, GeneralAdventure, General"
Empire of Sin,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,M,,,,800,2020/12/01,"Paradox Interactive,Deep Silver,Deep Silver",Romero Games Ltd.,M,68.0,6.0,"Action Adventure, GeneralAction Adventure, GeneralAction Adventure, General"
Worms Rumble,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2951,2021/06/23,Sold Out,Team17,E10+,0.0,0.0,"Strategy, Real-Time, General"
EarthNight,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,787,2020/01/23,cleaversoft,cleaversoft,E10+,79.0,6.8,"Action, Platformer, 2D"
METAL SLUG ANTHOLOGY™,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1391,2016/07/05,SNK Playmore,Terminal Reality,T,0.0,6.4,"Miscellaneous, Compilation"
NHL 94 Rewind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1605,2021/11/04,Electronic Arts,Electronic Arts,E,0.0,0.0,"Sports, Team, Ice Hockey, Sim"
Story of a Gladiator,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,,,,2315,2019/11/27,Brain Seal Ltd,Brain Seal Ltd,T,0.0,0.0,"Action, ""Beat-Em-Up"", 2DAction, ""Beat-Em-Up"", 2D"
The TakeOver,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2666,2021/05/20,DANGEN Entertainment,Pelikan13,T,0.0,0.0,"Action, ""Beat-Em-Up"", 2D"
Space Invaders Forever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,2238,2020/12/11,ININ Games,Taito Corporation,E,67.0,0.0,"Action, Miscellaneous, Shooter, Compilation, ""Shoot-Em-Up"", Vertical"
BALAN WONDERWORLD,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,283,2021/03/26,Square Enix,"Square Enix, Arzest, Balan Company",E10+,51.0,8.0,"Action, Platformer, 3DAction, Platformer, 3DAction, Platformer, 3DAction, Platformer, 3D"
HITMAN 3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,1095,2021/01/20,Io Interactive,Io Interactive,M,87.0,8.3,"Action Adventure, GeneralAction Adventure, GeneralAction Adventure, GeneralAction Adventure, General"
Fortnite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,933,TBA,,Epic Games,RP,0.0,0.0,"Action, GeneralAction, General"
Who Wants to Be a Millionaire?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,2923,2020/11/17,Maximum Games,Appeal Studio,E,0.0,5.8,"Miscellaneous, Trivia / Game ShowMiscellaneous, Trivia / Game Show"
Werewolf: The Apocalypse - Earthblood,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2904,2021/02/04,Nacon,Cyanide,M,56.0,4.7,"Role-Playing, Action RPGRole-Playing, Action RPGRole-Playing, Action RPGRole-Playing, Action RPG"
Asdivine Dios,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ET,,,,235,2019/07/02,Kemco,Kemco,E10+,0.0,0.0,"Role-Playing, Japanese-Style"
Need for Speed Hot Pursuit Remastered,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1620,2020/11/06,Electronic Arts,Criterion Games,E10+,77.0,6.2,"Racing, Arcade, AutomobileRacing, Arcade, AutomobileRacing, Arcade, Automobile"
The Sims™ 4 Snowy Escape,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,T,,,,2637,2020/11/13,Electronic Arts,Maxis,T,80.0,4.9,"Simulation, Virtual, Virtual LifeSimulation, Virtual, Virtual LifeSimulation, Virtual, Virtual Life"
Slide Stars,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2207,2022/04/29,Lion Castle Entertainment,Triangle Studios,,0.0,0.0,"Adventure, General"
My Universe - Cooking Star Restaurant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1572,2020/11/10,Microids,Old Skull Games,,0.0,0.0,"Simulation, Strategy, Management, Virtual, Career, Business / Tycoon"
XIII,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2965,2003/11/18,Ubisoft,Ubisoft Paris,M,72.0,7.6,"Action, Shooter, Shooter, First-Person, Modern, Sci-Fi, Arcade"
Wallachia: Reign of Dracula,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2860,2021/10/02,Pixelheart,Migami Games,T,0.0,0.0,"Action, Platformer, 2D"
TERA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,M,,,,2391,2018/04/03,En Masse Entertainment,Bluehole Studio,M,63.0,4.6,"Role-Playing, Massively Multiplayer"
PAW Patrol Mighty Pups Save Adventure Bay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1744,2020/11/06,Outright Games,Drakhar Studio,E,0.0,0.0,"Action, General, Platformer, 3D"
Watch Dogs Complete Edition,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,M,,,,2891,TBA,Ubisoft,Ubisoft,,0.0,0.0,"Action Adventure, Open-World"
Planet Coaster Console Edition,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1815,2020/11/12,Sold Out,Frontier Developments,E,81.0,6.3,"Strategy, Management, Business / Tycoon"
THE KING OF FIGHTERS™ COLLECTION: THE OROCHI SAGA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,T,,,,2403,2018/06/27,SNK Corporation,Terminal Reality,T,0.0,6.9,"Miscellaneous, Compilation"
Harvest Moon: One World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1118,2021/09/07,Natsume,Natsume,,0.0,0.0,"Strategy, Management, Business / Tycoon"
SIMULACRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M,,,,2074,2019/12/03,Wales Interactive,Kaigan Games OU,M,72.0,3.9,"Simulation, Virtual, Virtual LifeSimulation, Virtual, Virtual Life"
The Complex,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2496,2020/03/31,Wales Interactive,Wales Interactive,M,68.0,7.2,"Adventure, GeneralAdventure, GeneralAdventure, General"
Prince of Persia: The Sands of Time Remake,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,T,,,,1844,TBA 2022,Ubisoft,"Ubisoft Montreal, Ubisoft Pune",T,0.0,0.0,"Action Adventure, Linear"
Shadows of Adam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,T,,,,2150,2021/06/15,CIRCLE Entertainment,Something Classic Games LLC,T,0.0,0.0,"Role-Playing, Japanese-Style"
Hellpoint,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,,,,1133,2022/07/12,tinyBuild,Cradle Games,,0.0,0.0,"Role-Playing, Action RPG"
Mad Rat Dead,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1410,2020/10/30,Koei Tecmo Games,Nippon Ichi Software,T,69.0,7.4,"Action, Rhythm, Music"
Where the Water Tastes Like Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2913,2019/12/03,Dim Bulb Games,Dim Bulb Games,M,0.0,0.0,"Miscellaneous, Adventure, General"
Marvel's Spider-Man: Miles Morales,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1457,2022/11/18,PlayStation PC,Nixxes Software,T,0.0,0.0,"Action Adventure, Open-World"
MY UNIVERSE - FASHION BOUTIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1409,2020/11/23,Microids,Black Sheep Studio,,0.0,0.0,"Strategy, Management, Business / Tycoon"
Mighty Gunvolt Burst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1496,TBA,Inti Creates,Inti Creates,E,0.0,0.0,"Action, Platformer, 2D"
Santa's Xmas Adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,2117,2020/10/29,GS2 Games,"Raiser Games, GS2 Games",,0.0,0.0,"Adventure, Puzzle, Action, General"
Ys IX: Monstrum Nox,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,2991,Q2 2023,NIS America,Falcom,,0.0,0.0,"Role-Playing, Action RPG"
CROSSING SOULS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,424,2018/02/13,Devolver Digital,Fourattic,"T,M",75.0,6.9,"Action Adventure, GeneralAction Adventure, General"
Spacebase Startopia,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2242,2021/03/26,Kalypso,Realmforge Studios,E10+,69.0,4.5,"General, Strategy, Real-Time, CommandStrategy, Real-Time, General, CommandStrategy, Real-Time, General, CommandStrategy, Real-Time, General, Command"
Family Feud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,872,2020/11/12,Ubisoft,Ubisoft,E,0.0,0.0,"Miscellaneous, Trivia / Game Show"
Taxi Chaos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2439,2021/10/19,Lion Castle,Team6 Game Studios,,0.0,0.0,"Racing, Arcade, Automobile"
Remothered: Broken Porcelain,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,M,,,,1973,2020/10/13,Modus Games,Stormind Games,M,49.0,7.8,"Adventure, 3D, First-PersonAdventure, 3D, First-PersonAdventure, 3D, First-Person"
Katamari Damacy REROLL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1288,2020/11/20,Bandai Namco Games,Bandai Namco Games,E,82.0,6.8,"Action Adventure, GeneralAction Adventure, General"
Puyo Puyo Tetris 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1867,2021/03/23,Sega,Sega,E10+,0.0,0.0,"Puzzle, Matching"
Mortal Shell,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,,,,1546,2020/08/18,Playstack,Cold Symmetry,M,76.0,7.1,"Role-Playing, Action RPGRole-Playing, Action RPGRole-Playing, Action RPG"
NHL 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1604,2020/10/13,Electronic Arts,Electronic Arts,E10+,81.0,3.1,"Sports, Team, Ice Hockey, SimSports, Team, Ice Hockey, Sim"
Fishing Sim World: Bass Pro Shops Edition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,904,2021/09/30,Cokem International,"Dovetail Games, Cokem International",E,0.0,0.0,"Sports, Individual, Nature, Fishing"
THE KING OF FIGHTERS 2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,T,,,,2400,2016/05/03,SNK Corporation,SNK Playmore,,0.0,0.0,"Action, Fighting, 2D"
ROBOTICS;NOTES DaSH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,T,,,,1896,2020/10/13,Spike Chunsoft,"Mages.,5pb",T,0.0,0.0,"Adventure, Visual NovelAction, General, Adventure, Visual Novel"
Sackboy: A Big Adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,2104,2022/10/27,PlayStation PC,Sumo Digital,E,0.0,0.0,"Action, Platformer, 3D"
Little Nightmares II,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1367,2021/08/25,Bandai Namco Games,"Tarsier Studios, Supermassive Games",T,0.0,8.5,"Action Adventure, Linear"
DIRT 5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,553,2020/11/12,Deep Silver,Codemasters,E,80.0,5.6,"Racing, Simulation, Automobile"
FIFA 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,839,2020/12/04,Electronic Arts,Electronic Arts,E,74.0,2.6,"Sports, Team, Soccer, Sim"
Supermarket Shriek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2381,2020/10/23,PQube,BillyGoat Entertainment Ltd,E10+,0.0,0.0,"Simulation, GeneralSimulation, General"
Hotline Miami,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,1164,2014/08/19,Devolver Digital,Dennaton,M,0.0,8.3,"Action, Action Adventure, General, Linear"
OLIJA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,1677,2021/01/28,"Unties,Devolver Digital,Devolver Digital",Skeleton Crew Studio,T,79.0,7.3,"Action, Action Adventure, Platformer, Open-World, 2DAction, Action Adventure, Platformer, Open-World, 2DAction, Action Adventure, Platformer, Open-World, 2D"
Monster Truck Championship,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1534,2021/03/16,Maximum Games,Maximum Games,,70.0,0.0,"Simulation, Vehicle, Civilian"
Nickelodeon Kart Racers 2: Grand Prix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1648,2020/12/01,GameMill Entertainment,Bamtang,E,0.0,7.7,"Racing, Arcade, Automobile"
Hotline Miami 2: Wrong Number ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,M,,,,1167,2015/03/10,Devolver Digital,Dennaton,M,74.0,8.0,"Action, Action Adventure, General, General, LinearAction, Action Adventure, General, Linear"
Scott Pilgrim vs. the World: The Game - Complete Edition,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,T,,,,2122,2021/01/14,Ubisoft,"Ubisoft, Engine Software",T,78.0,7.4,"Action, ""Beat-Em-Up"", 2DAction, ""Beat-Em-Up"", 2DAction, ""Beat-Em-Up"", 2D"
Star Wars: Squadrons,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2282,2020/10/02,Electronic Arts,Motive Studios,T,79.0,5.6,"Simulation, Space, CombatSimulation, Space, Combat"
The Walking Dead Onslaught,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,2674,2020/09/29,Survios,Survios,M,61.0,6.8,"Action Adventure, SurvivalAction Adventure, Survival"
Cobra Kai: The Karate Kid Saga Continues,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,495,2021/01/05,GameMill Entertainment,"Flux Games, Flux",T,0.0,7.5,"Action, ""Beat-Em-Up"", 2D"
Freedom Finger,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,940,2020/03/24,Wide Right Interactive,Wide Right Interactive,M,82.0,8.5,"Action, Shooter, ""Shoot-Em-Up"", HorizontalAction, Shooter, ""Shoot-Em-Up"", Horizontal"
Just Dance 2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1278,2020/11/24,Ubisoft,Ubisoft,E,0.0,0.7,"Action, Rhythm, Dancing"
The Dark Pictures Anthology: Little Hope,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2505,TBA,Bandai Namco Games,Bandai Namco Games,,0.0,0.0,"Action Adventure, Survival"
